STATION,LATITUDE,LONGITUDE,PRCP 2020,SNOW 2020,TMAX 2020,TMIN 2020,PRCP 2019,SNOW 2019,TMAX 2019,TMIN 2019,PRCP 2018,SNOW 2018,TMAX 2018,TMIN 2018,PRCP 2017,SNOW 2017,TMAX 2017,TMIN 2017,PRCP 2016,SNOW 2016,TMAX 2016,TMIN 2016,PRCP 2015,SNOW 2015,TMAX 2015,TMIN 2015
USC00440766,37.2039,-80.4144,0,0,87,63,0,0,87,61,0.03,0,81,64,0,0,78,62,0.02,0,81,56,0.23,0,81,62
USC00440766,37.2039,-80.4144,0,0,86,62,0,0,88,63,0,0,85,65,0,0,84,60,0,0,81,57,0,0,88,66
USC00440766,37.2039,-80.4144,0,0,89,65,0.09,0,85,63,0,0,84,57,0.01,0,83,61,0.03,0,73,63,0,0,89,67
USC00440766,37.2039,-80.4144,0,0,89,65,0,0,90,64,0,0,84,59,0.18,0,69,63,0.48,0,74,64,0.01,0,84,56
USC00440766,37.2039,-80.4144,0.06,0,85,64,0,0,88,67,0.57,0,81,66,1.53,0,80,63,0,0,85,65,0,0,77,47
USC00440766,37.2039,-80.4144,0.07,0,87,65,0,0,87,67,0.63,0,81,63,0.07,0,85,66,1.52,0,78,65,0,0,79,48
USC00440766,37.2039,-80.4144,0.53,0,87,66,0.39,0,83,62,0.02,0,82,63,0.06,0,85,65,0.05,0,79,59,0,0,83,52
USC00440766,37.2039,-80.4144,0,0,86,66,0,0,77,51,0,0,83,64,0.19,0,78,63,0.01,0,83,60,0,0,86,59
USC00440766,37.2039,-80.4144,0.15,0,87,65,0,0,79,48,0,0,80,57,0.04,0,84,64,0.08,0,77,63,0.03,0,88,66
USC00440766,37.2039,-80.4144,0.01,0,79,64,0,0,84,50,0,0,81,55,0.05,0,82,61,0,0,86,65,0.6,0,78,64
USC00440766,37.2039,-80.4144,0.03,0,86,66,0,0,87,55,0,0,85,56,0,0,81,60,0.1,0,85,67,0,0,82,60
USC00440766,37.2039,-80.4144,0.08,0,85,63,0,0,87,59,0,0,88,59,0,0,85,61,0,0,82,60,0,0,84,61
USC00440766,37.2039,-80.4144,0,0,87,62,0,0,83,60,0,0,88,63,0.03,0,83,64,1.41,0,79,62,0.11,0,86,62
USC00440766,37.2039,-80.4144,0,0,88,63,0,0,83,60,0.02,0,86,65,0.63,0,84,65,0.33,0,85,62,0,0,87,65
USC00440766,37.2039,-80.4144,0,0,89,64,0,0,85,60,0.1,0,84,67,0.86,0,84,65,0.14,0,82,63,0.66,0,86,66
USC00440766,37.2039,-80.4144,0.2,0,89,64,0,0,87,61,0,0,84,56,0,0,82,62,0,0,77,61,0.07,0,77,53
USC00440766,37.2039,-80.4144,0,0,88,64,0.19,0,87,65,0,0,85,57,0.25,0,84,61,0,0,84,62,0,0,75,48
